source,target,value
MAT095,MAT096,621
MAT095,END,335
MAT120,END,324
MAT096,MAT096(repeat),311
MAT096,END,266
MAT095,MAT095(repeat),238
MAT096,MAT120,206
MAT115,END,186
MAT096,MAT115,180
MAT115,MAT200,112
MAT120,MAT120(repeat),89
MAT106,END,88
MAT096,MAT095(backwards),83
MAT115,MAT120,77
MAT115,MAT115(repeat),75
MAT120,MAT115(backwards),61
MAT120,MAT200,56
MAT200,MAT201,46
