source,target,value
MAT095,MAT096,643
MAT095,END,358
MAT120,END,317
MAT095,MAT095(repeat),250
MAT096,END,202
MAT115,MAT200,193
MAT115,END,192
MAT096,MAT096(repeat),150
MAT096,MAT120,114
MAT096,MAT115,113
MAT112,END,98
MAT115,MAT115(repeat),86
MAT106,END,80
MAT120,MAT120(repeat),75
MAT107,END,73
MAT118,END,69
MAT095,MAT119,54
