source,target,value
MAT095,MAT096,533
MAT096,MAT096(repeat),317
MAT120,END,298
MAT095,END,283
MAT096,END,248
MAT115,END,182
MAT115,MAT200,160
MAT095,MAT095(repeat),159
MAT096,MAT120,147
MAT118,END,143
MAT096,MAT115,124
MAT112,END,101
MAT120,MAT120(repeat),77
MAT115,MAT115(repeat),69
MAT107,END,59
MAT115,MAT120,54
MAT096,MAT112,43
MAT200,MAT201,43
MAT096,MAT107,43
