source,target,value
MAT095,END,445
MAT095,MAT096,434
MAT120,END,389
MAT115,END,251
MAT095,MAT095(repeat),182
MAT119,END,144
MAT095,MAT119,135
MAT115,MAT200,134
MAT107,END,112
MAT106,END,91
MAT120,MAT120(repeat),89
MAT096,END,87
MAT115,MAT115(repeat),72
MAT096,MAT115,72
MAT096,MAT096(repeat),66
MAT096,MAT120,64
MAT200,MAT201,49
MAT115,MAT120,46
MAT095,MAT117,45
MAT120,MAT200,41
MAT095,MAT099,34
MAT117,END,26
MAT200,END,23
MAT117,MAT200,22
MAT119,MAT115,17
